Volatility 3 Framework 2.26.1

PID	TID	Process	FD	Path	Device	Inode	Type	Mode	Changed	Modified	Accessed	Size

1	1	systemd	0	/dev/null	0:6	6	CHR	crw-rw-rw-	2018-07-20 09:10:43.156000 UTC	2018-07-20 09:10:43.156000 UTC	2018-07-20 09:10:43.156000 UTC	0
1	1	systemd	1	/dev/null	0:6	6	CHR	crw-rw-rw-	2018-07-20 09:10:43.156000 UTC	2018-07-20 09:10:43.156000 UTC	2018-07-20 09:10:43.156000 UTC	0
1	1	systemd	2	/dev/null	0:6	6	CHR	crw-rw-rw-	2018-07-20 09:10:43.156000 UTC	2018-07-20 09:10:43.156000 UTC	2018-07-20 09:10:43.156000 UTC	0
1	1	systemd	3	/dev/kmsg	0:6	12	CHR	crw-r--r--	2018-07-20 09:10:43.156000 UTC	2018-07-20 09:10:43.156000 UTC	2018-07-20 09:10:43.156000 UTC	0
1	1	systemd	4	anon_inode:[7090]	0:11	7090	-	?rw-------	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	0
1	1	systemd	5	anon_inode:[7090]	0:11	7090	-	?rw-------	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	0
1	1	systemd	6	/sys/fs/cgroup/systemd	0:22	1	DIR	dr-xr-xr-x	2018-07-20 09:10:28.244000 UTC	2018-07-20 09:10:28.244000 UTC	2018-07-23 06:25:02.454331 UTC	0
1	1	systemd	7	anon_inode:[7090]	0:11	7090	-	?rw-------	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	0
1	1	systemd	8	socket:[8785]	0:8	8785	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	9	anon_inode:[7090]	0:11	7090	-	?rw-------	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	0
1	1	systemd	10	/proc/1/mountinfo	0:4	8786	REG	-r--r--r--	2018-07-20 09:10:28.480000 UTC	2018-07-20 09:10:28.480000 UTC	2018-07-20 09:10:28.480000 UTC	0
1	1	systemd	11	anon_inode:[7090]	0:11	7090	-	?rw-------	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	0
1	1	systemd	12	/proc/swaps	0:4	4026532080	REG	-r--r--r--	2018-07-20 09:10:28.524000 UTC	2018-07-20 09:10:28.524000 UTC	2018-07-20 09:10:28.524000 UTC	0
1	1	systemd	13	anon_inode:[7090]	0:11	7090	-	?rw-------	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	0
1	1	systemd	14	socket:[8788]	0:8	8788	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	15	anon_inode:[7090]	0:11	7090	-	?rw-------	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	0
1	1	systemd	16	anon_inode:[7090]	0:11	7090	-	?rw-------	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	0
1	1	systemd	17	socket:[54269]	0:8	54269	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	22	socket:[8787]	0:8	8787	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	23	/dev/autofs	0:6	314	CHR	crw-------	2018-07-20 09:10:43.160000 UTC	2018-07-20 09:10:43.160000 UTC	2018-07-20 09:10:43.160000 UTC	0
1	1	systemd	24	socket:[13405]	0:8	13405	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	25	socket:[13408]	0:8	13408	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	26	socket:[54483]	0:8	54483	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	27	anon_inode:[7090]	0:11	7090	-	?rw-------	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	0
1	1	systemd	28	anon_inode:[7090]	0:11	7090	-	?rw-------	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	0
1	1	systemd	29	socket:[8803]	0:8	8803	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	30	socket:[13398]	0:8	13398	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	31	socket:[8794]	0:8	8794	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	32	pipe:[8798]	0:10	8798	FIFO	prw-------	2018-07-20 09:10:28.564000 UTC	2018-07-20 09:10:28.564000 UTC	2018-07-20 09:10:28.564000 UTC	0
1	1	systemd	33	socket:[110298]	0:8	110298	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	34	socket:[9631]	0:8	9631	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	35	socket:[10165]	0:8	10165	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	36	socket:[11050]	0:8	11050	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	37	socket:[15855]	0:8	15855	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	38	socket:[9382]	0:8	9382	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	39	socket:[15862]	0:8	15862	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	40	socket:[15863]	0:8	15863	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	41	socket:[15875]	0:8	15875	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	42	socket:[15882]	0:8	15882	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	43	socket:[15916]	0:8	15916	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	47	socket:[17778]	0:8	17778	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	49	/run/dmeventd-server	0:18	237	FIFO	prw-------	2018-07-20 09:10:28.620000 UTC	2018-07-20 09:10:28.620000 UTC	2018-07-20 09:10:28.620000 UTC	0
1	1	systemd	50	anon_inode:[7090]	0:11	7090	-	?rw-------	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	2018-07-20 09:10:25.028239 UTC	0
1	1	systemd	51	/run/dmeventd-client	0:18	238	FIFO	prw-------	2018-07-20 09:10:28.620000 UTC	2018-07-20 09:10:28.620000 UTC	2018-07-20 09:10:28.620000 UTC	0
1	1	systemd	52	socket:[13697]	0:8	13697	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	53	socket:[8804]	0:8	8804	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	54	socket:[8805]	0:8	8805	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	55	socket:[8793]	0:8	8793	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	56	socket:[8802]	0:8	8802	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	57	socket:[9286]	0:8	9286	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	58	/dev/rfkill	0:6	4	CHR	crw-rw-r--	2018-07-20 09:10:43.172000 UTC	2018-07-20 09:10:43.172000 UTC	2018-07-20 09:10:43.172000 UTC	0
1	1	systemd	60	socket:[8801]	0:8	8801	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	61	socket:[13397]	0:8	13397	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	84	socket:[8800]	0:8	8800	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	85	/run/systemd/initctl/fifo	0:18	240	FIFO	prw-------	2018-07-20 09:10:28.708000 UTC	2018-07-20 09:10:28.708000 UTC	2018-07-20 09:10:28.708000 UTC	0
1	1	systemd	86	socket:[26985]	0:8	26985	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	87	socket:[26986]	0:8	26986	SOCK	srwxrwxrwx	-	-	-	0
413	413	systemd-journal	0	/dev/null	0:6	6	CHR	crw-rw-rw-	2018-07-20 09:10:43.156000 UTC	2018-07-20 09:10:43.156000 UTC	2018-07-20 09:10:43.156000 UTC	0
413	413	systemd-journal	1	/dev/null	0:6	6	CHR	crw-rw-rw-	2018-07-20 09:10:43.156000 UTC	2018-07-20 09:10:43.156000 UTC	2018-07-20 09:10:43.156000 UTC	0
413	413	systemd-journal	2	/dev/null	0:6	6	CHR	crw-rw-rw-	2018-07-20 09:10:43.156000 UTC	2018-07-20 09:10:43.156000 UTC	2018-07-20 09:10:43.156000 UTC	0
413	413	systemd-journal	3	socket:[8804]	0:8	8804	SOCK	srwxrwxrwx	-	-	-	0
413	413	systemd-journal	4	socket:[8805]	0:8	8805	SOCK	srwxrwxrwx	-	-	-	0
413	413	systemd-journal	5	socket:[9286]	0:8	9286	SOCK	srwxrwxrwx	-	-	-	0
